model,oof_auc,fold_mean_auc,fold_std_auc,fold_aucs
Logistic Regression,0.8510681400825085,0.8515330359945356,0.006848901915891347,0.8477;0.8629;0.8557;0.8474;0.8440
Random Forest,0.939164586054638,0.9394150472380046,0.006581601314023854,0.9435;0.9470;0.9380;0.9277;0.9408
Gradient Boosting,0.9393931679397205,0.9397025387817857,0.003835253634412073,0.9375;0.9465;0.9365;0.9366;0.9414
SVM (RBF),0.9347692256420274,0.934615153971712,0.0075222765882937415,0.9388;0.9354;0.9382;0.9200;0.9407
MLP Neural Network,0.926923073362519,0.9276215838967274,0.006029914477520649,0.9203;0.9339;0.9351;0.9220;0.9268
XGBoost,0.9462535560182224,0.9465188124041429,0.0028946253156352493,0.9468;0.9513;0.9458;0.9423;0.9464
LightGBM,0.9544897555508445,0.9548339688822217,0.0023404111274909494,0.9534;0.9568;0.9515;0.9543;0.9580
