top_n,mean_acc,std_acc
1,0.5982675649663138,0.010933183307921389
3,0.7241578440808472,0.006401651260179338
5,0.7813282001924928,0.008399393351018842
10,0.8471607314725699,0.014989738081949415
15,0.8654475457170356,0.008638616235733176
20,0.8804619826756497,0.009803912668524999
30,0.8873917228103945,0.0082345523142281
47,0.8852743022136668,0.0038208726162231254
